"T280827"||2|||||||3
"T280828"||1|||||||
"T280829"||9|1|||2|||2
"T280830"||1|||||||
"T280831"||2|||||||
"T280833"||2|||||||
"T280834"||3|||||||
"T280837"||2|||||||
"T280838"||1|2|||||1|2
"T280839"||14|4|||2|||3
"T280840"||34|2|||3||1|
"T280841"||57|2|||3||1|3
"T280842"||33|2|||1||2|6
"T280843"||14|4|||1||1|3
"T280844"||3|2||||||
"T280845"||3|||||||
"T280846"||5|2||||||
"T280847"||10|4||||||
"T280848"||42|2|||2||5|5
"T280850"||63|11|||2||8|5
"T280851"||13|1|||1||2|
"T280853"||20|1|||4|||2
"T280854"||30|6|||4||4|7
"T280856"||3|||||||1
"T280861"|||||||||2
"T280863"||1|||||||
"T280864"||7||||2||3|
"T280865"||5|4|||2||2|2
"T280867"||1|||||||
"T280869"||1|||||||
"T280873"||2|1|||2||2|1
"T280874"||6|3|||1|||
"T280878"||2|||||||
"T280880"||15|3|||1|||2
"T280881"||1|||||||
"T280882"||1|||||||
"T280883"||13|2|||1||1|
"T280884"||18|3|||2|||2
"T280887"||1|||||||2
"T280888"||1|||||||2
"T280890"|||||||||1
"T280891"|||||||||3
"T280892"||4|||||||
"T280893"|||1|||3|||
"T280894"||2|||||||3
"T280901"|||1||||||
"T281001"||1|1||||||
"T281002"||1|5||||||
"T281003"||13|1||||||1
"T281006"||1||||2|||
"T281007"||1|||||||
"T281008"||1|||||||
"T281009"||2|||||||
"T281011"||2|||||||1
"T281108"||1|||||||
"T281114"||||||1|||
"T281120"||3|||||||
"T281121"||3|||||||
"T281129"||1|||||||
"T281130"||5|||||||
"T281131"||1|||||||1
"T281132"||1|||||||
"T281133"||1|||||||
"T281135"||10|||||||
"T281139"|||||||||6
"T281141"||8|4|||1|||15
"T281142"||1|||||||
"T281143"|||||||||1
"T281145"|||||||||2
"T281154"||2|||||||1
"T281201"||6|||||||1
"T281202"|||||||||2
"T281203"||1|||||||
"T281204"|||||||||1
"T281206"|||||||||1
"T281212"|||||||||1
"T281213"|||||||||2
"T281214"||1|||||||3
"T281217"||1|||||||
"T281302"||1|||||||
"T281304"||1|||||||
"T281307"|||||||||1
"T281308"||1|||||||
"T281310"||1|||||||
"T281311"||1|||||||
"T281313"|||||||||1
"T281315"||||||1|||
"T281316"||1|||||||
"T281318"|||||||||1
"T281319"|||||||||1
"T281351"||1|||||||
"T281412"||1|||||||
"T281414"||||||1|||
"T281415"||1|||||||3
"T281418"||1|||||||
"T281434"|||||||||1
"T281441"||1|||||||
"T282102"||2|||||||
"T290101"|||||||||1
"T290501"||1|||||||
"T291003"||1|||||||
"T294004"||2|||||||
"T295001"||3||||1|||
"T295002"||1|||||||
"T295003"|||1||||||
"T295201"|||1|||2|||1
"T295202"|||2||||||
"T295203"||1|||||||
"T295204"||1|||||||
"T295601"|||1||||||
"T295902"||2|||||||
"T296001"||2|||||||
"T296002"||3|||||||
"T296003"||1|||||||
"T297401"||1|||||||
"T298401"||1|||||||
"T298402"||4|1||||||
"T299001"||3|||||||1
"T340002"|||||||||2
"T340004"|||||||||1
"T340005"|||||||||1
"T340007"||1||||1|||
"T340009"||2|||||||3
"T340011"||1|||||||2
"T370201"||1|||||||
"T370203"||2|||||||
"T370301"||1|||||||5
"T370302"||1|||||||2
"T370303"|||||||||2
"T370305"||1|||||||
"T380601"||4|||||||
"T380602"||2|||||||
"T380604"||1|||||||
"T380605"||1|||||||
"T380606"||2|||||||
"T380607"||4||||2|||
"T380608"||34|3|||1|||4
"T380610"||2|||||||
"T380612"||1|||||||
"T380613"||1|||||||
"T380615"||1|||||||
"T380618"||1|||||||
"T380620"||3|||||||
"T380623"||2|||||||
"T380630"||1|||||||
"T380632"||3|||||||
"T380633"||1|||||||
"T380804"|||||||||1
"T400503"||2|||||||
"T400504"||1|||||||1
"T400505"||1|||||||1
"T400507"||1||||1|||
"T400509"||1|||||||
"T400510"|||||||||1
"T400553"|||||||||1
"T400803"||1|||||||
"T415001"|||||||||1
"T415006"||1|||||||
"T415014"||1|||||||
"T415103"|||||||||1
"T415501"||1|||||||1
"T415503"||1|||||||
"T415504"||1|||||||
"T415505"|||||||||3
"T415506"|||||||||1
"T415509"||1|||||||2
"T415513"||1|||||||
"T415515"||1|||||||
"T480107"||1|||||||
"T480108"||1|||||||
"T500051"||||||1|||
"T500601"|||||||||3
"T500701"|||||||||2
"T500703"|||||||||2
"T500704"||1|||||||
"T500752"||1|||||||
"T500802"||1|||||||
"T500804"|||||||||4
"T500855"|||||||||1
"T500903"||1|||||||
"T500904"|||||||||1
"T500908"|||||||||1
"T500951"|||||||||1
"T500954"|||||||||1
"T500956"|||||||||1
"T500961"||1|||||||
"T501001"|||||||||4
"T501002"||4||||1|||1
"T501003"|||||||||1
"T501004"||1|||||||
"T501050"||2|||||||6
"T501052"||||||1|||
"T501053"||2|||||||
"T501056"||1|1||||||
"T501102"|||||||||1
"T501103"||1|||||||
"T501104"|||||||||1
"T501106"||2|||||||1
"T501107"||1|||||||
"T501151"||1|||||||1
"T501153"||1|||||||
"T501201"||1|||||||
"T501301"||||||1|||
"T501302"|||||||||1
"T501503"||1|||||||
"T501505"||1|||||||
"T501509"||1|||||||
"T501510"||1|||||||
"T501552"||3|||||||
"T501553"|||||||||1
"T501555"||1|||||||
"T501556"|||||||||1
"T501559"||9|||||||
"T501561"||1|||||||1
"T502151"||1|||||||
"T509850"||1|||||||1
"T509904"||3|||||||
"T509907"||1|||||||
"T509908"||3|||||||
"T509925"|||||||||1
"T509926"||1|||||||
"T530001"|||||||||1
"T530502"||3|||||||
"T530503"|||||||||1
"T530504"|||||||||1
"T530506"||1|||||||1
"T530511"|||||||||1
"X103-2"||2|1||||||
"X103-3"||5|||||||
"X103-41"||1|||||||
"X114-1M"||1|||||||
"X114-2M"||1|||||||
"X117-1"||1||||1|||
"X120-1"||2|||||||
"X126-1"||2|||||||
"X130"||1|||||||
"X136-3M"||4|||||||
"X137-4M"||5|||||||
"X139-1"||||||2|||
"X139-3M"||||||1|||
"X139-3M1"||2|||||||
"X139-4"||2|||||||
"X139-5M"||2||||1|||
"X139-5M1"||1|||||||
"X140M"||2|||||||
"X207-14"||1|||||||
"X207-19"||1|||||||
"X207-4"||1|||||||
"X208-11"||1|||||||
"X208-8A"||1|||||||
"X309-1"||2|||||||
"X310-1"||2|||||||
"X313-10"||1|||||||
"X313-11"|||2||||||
"X313-12M"||2|||||||
"X313-13M"||1|||||||
"X313-15"|||2||||||
"X313-16"||1|||||||
"X313-18M"||2|||||||
"X313-3"||3|||||||
"X314-1"||2|||||||
"X314-5"||||||1|||
"X314-7"||1|||||||
"X315-1"||1|||||||
"X415-1"||1|||||||
"X416-1"||1|||||||
"X419-1"||1|||||||
"X422"||1|||||||
"X429-4"||||||1|||
"X431M"||1|||||||
"X432-2"||2|||||||
"X432-3"||1|||||||
